iter	Logloss
0	0.6813106565
1	0.6694325068
2	0.6591347833
3	0.6479482827
4	0.6382254488
5	0.6287609601
6	0.6198669943
7	0.6119056366
8	0.6030319335
9	0.5946186742
10	0.5880782509
11	0.5813689852
12	0.5745244935
13	0.5680203792
14	0.5620937458
15	0.5567048194
16	0.5516977462
17	0.5465542935
18	0.5420023057
19	0.5376860788
20	0.5331631941
21	0.5284218441
22	0.5244518413
23	0.5209484048
24	0.5170985241
25	0.5138825261
26	0.5096045696
27	0.5064206283
28	0.5035942024
29	0.5005594423
30	0.4970984787
31	0.4946101499
32	0.491873663
33	0.489596102
34	0.4870771316
35	0.4849163885
36	0.4828302834
37	0.480346691
38	0.4784809808
39	0.4765162335
40	0.474564914
41	0.4725609067
42	0.4703682982
43	0.4685292262
44	0.4669244894
45	0.4648457722
46	0.4628904291
47	0.4609127545
48	0.459408609
49	0.45792673
50	0.4562915353
51	0.4547744766
52	0.4532001044
53	0.4514960051
54	0.4492221122
55	0.4478810931
56	0.4460739448
57	0.4446150608
58	0.4433599009
59	0.4415420801
60	0.4400868962
61	0.4388320407
62	0.4375501332
63	0.4363873231
64	0.4350323787
65	0.4340787483
66	0.4325557401
67	0.4312605584
68	0.4297323719
69	0.4286971286
70	0.4276919029
71	0.4264755161
72	0.4252801305
73	0.4243853106
74	0.4233050601
75	0.422032467
76	0.4209870478
77	0.4200199116
78	0.4189060169
79	0.4181205685
80	0.4170471017
81	0.4161773207
82	0.4154097015
83	0.4146091887
84	0.413714
85	0.412627368
86	0.4120539033
87	0.4111781083
88	0.4104871571
89	0.4097438459
90	0.4091438291
91	0.4085234819
92	0.4077134019
93	0.4070256141
94	0.406493293
95	0.4058129305
96	0.4050275549
97	0.4040766505
98	0.4032383886
99	0.4022138466
100	0.4012860148
101	0.4006926943
102	0.3998878637
103	0.399260811
104	0.3985107097
105	0.3978442336
106	0.3971973959
107	0.3965093229
108	0.3957256907
109	0.3948682649
110	0.3943106003
111	0.3933816221
112	0.3926432241
113	0.3918999663
114	0.3911124504
115	0.3905018889
116	0.3898461895
117	0.3893180653
118	0.3886869126
119	0.3879557558
120	0.3874320388
121	0.3868712889
122	0.386373045
123	0.3858418814
124	0.3852989259
125	0.3847783964
126	0.3844442921
127	0.3838328186
128	0.3835092106
129	0.3829371409
130	0.3823291195
131	0.3817864529
132	0.3813629644
133	0.3807741551
134	0.3802921447
135	0.379857463
136	0.3793365278
137	0.3788546105
138	0.3783102331
139	0.3778043848
140	0.3773811133
141	0.3768547872
142	0.376393354
143	0.3759452843
144	0.3755570215
145	0.37531625
146	0.3746925677
147	0.3741713401
148	0.3732628246
149	0.372741843
150	0.372138655
151	0.3716764743
152	0.3711922028
153	0.3706743188
154	0.370187063
155	0.3696577941
156	0.3691912323
157	0.3685288199
158	0.3680812359
159	0.3677343275
160	0.3672195061
161	0.3667120889
162	0.3663476653
163	0.3660743436
164	0.3656027932
165	0.3652090185
166	0.3649330592
167	0.3645569038
168	0.3641209287
169	0.3637887344
170	0.3633883264
171	0.3629032866
172	0.3623840416
173	0.3619977995
174	0.3615108001
175	0.3611549348
176	0.3607390001
177	0.3603646096
178	0.3596614913
179	0.359245764
180	0.3589292831
181	0.3584430805
182	0.3580297601
183	0.3574791453
184	0.3572103839
185	0.3566497883
186	0.3563128403
187	0.3560222728
188	0.355592548
189	0.3553313127
190	0.3549415841
191	0.3545783418
192	0.3542087575
193	0.3538856515
194	0.3534042302
195	0.3530125333
196	0.3527702852
197	0.3523805972
198	0.3520252518
199	0.3515325344
200	0.3511120637
201	0.3508500687
202	0.3505514441
203	0.3501001979
204	0.3497153157
205	0.3493622212
206	0.3490383697
207	0.3486665184
208	0.3482473496
209	0.3479941468
210	0.3476389409
211	0.3472258545
212	0.3468136289
213	0.346627256
214	0.3462706536
215	0.3459190482
216	0.3456662102
217	0.3452388194
218	0.3447163179
219	0.3443556485
220	0.3441331531
221	0.343900943
222	0.343595514
223	0.3432950422
224	0.3429145868
225	0.3426588608
226	0.3420534053
227	0.3416707052
228	0.3413590379
229	0.3410579577
230	0.3408149568
231	0.3406011157
232	0.3401102043
233	0.3397046115
234	0.3393974106
235	0.3391561343
236	0.3387777413
237	0.3384555078
238	0.337970073
239	0.3376396846
240	0.3370678234
241	0.3367584122
242	0.3363103424
243	0.335948959
244	0.3356903678
245	0.3354244511
246	0.3349687121
247	0.3344444708
248	0.3342359398
249	0.3339032213
250	0.3335677173
251	0.3332124451
252	0.3328726274
253	0.3323719537
254	0.3320647013
255	0.3317337479
256	0.3313555714
257	0.3311428758
258	0.3307716808
259	0.3304372979
260	0.3301480449
261	0.3298109696
262	0.3293294218
263	0.3289427058
264	0.3285573722
265	0.3282413886
266	0.3279850158
267	0.3276027768
268	0.3272514336
269	0.3268474304
270	0.3265550723
271	0.3262777663
272	0.3259909188
273	0.3256936358
274	0.3253644857
275	0.3251729265
276	0.3249684722
277	0.3246687269
278	0.3243814651
279	0.3240871915
280	0.323753351
281	0.3233708222
282	0.3231576159
283	0.3228698264
284	0.322475215
285	0.3221998577
286	0.3220070555
287	0.3218607277
288	0.3215016969
289	0.3210512606
290	0.3207487028
291	0.3203673155
292	0.3200851494
293	0.3197970552
294	0.3196696788
295	0.3193771811
296	0.3191606298
297	0.3189418042
298	0.3186837026
299	0.3183020328
300	0.3180705665
301	0.3178078882
302	0.3173806907
303	0.3170648701
304	0.3167520005
305	0.3165831497
306	0.3163854811
307	0.3161570354
308	0.3159372728
309	0.3155896991
310	0.3153086369
311	0.3150947427
312	0.3147537782
313	0.314426508
314	0.3141920138
315	0.3139289704
316	0.3136874011
