iter	Passed	Remaining
0	141	140887
1	158	79168
2	177	58838
3	193	48225
4	211	42049
5	227	37640
6	244	34634
7	260	32250
8	275	30317
9	289	28677
10	305	27482
11	320	26389
12	335	25508
13	350	24664
14	365	23990
15	380	23403
16	395	22897
17	412	22509
18	428	22103
19	445	21815
20	460	21488
21	479	21333
22	496	21100
23	514	20912
24	532	20749
25	550	20623
26	565	20364
27	581	20187
28	597	20000
29	613	19837
30	630	19702
31	647	19585
32	662	19423
33	678	19284
34	694	19147
35	711	19045
36	727	18942
37	743	18821
38	759	18711
39	774	18597
40	789	18474
41	805	18377
42	821	18274
43	836	18172
44	851	18071
45	867	17988
46	883	17913
47	899	17838
48	915	17764
49	932	17721
50	950	17679
51	967	17632
52	983	17572
53	999	17514
54	1017	17475
55	1034	17443
56	1050	17386
57	1066	17326
58	1081	17256
59	1097	17191
60	1113	17143
61	1129	17086
62	1145	17041
63	1160	16974
64	1175	16906
65	1190	16847
66	1205	16784
67	1219	16720
68	1235	16669
69	1251	16625
70	1266	16572
71	1281	16523
72	1297	16475
73	1312	16420
74	1326	16366
75	1341	16311
76	1357	16271
77	1372	16225
78	1388	16186
79	1404	16148
80	1419	16110
81	1436	16076
82	1452	16044
83	1468	16008
84	1484	15984
85	1501	15958
86	1517	15926
87	1532	15883
88	1548	15845
89	1565	15832
90	1579	15777
91	1593	15729
92	1607	15681
93	1621	15630
94	1636	15594
95	1653	15566
96	1667	15523
97	1682	15485
98	1697	15449
99	1712	15410
100	1727	15375
101	1742	15340
102	1756	15297
103	1771	15257
104	1785	15215
105	1799	15176
106	1813	15135
107	1827	15097
108	1841	15052
109	1854	15007
110	1868	14965
111	1882	14924
112	1897	14890
113	1911	14852
114	1924	14809
115	1937	14767
116	1951	14727
117	1965	14691
118	1982	14674
119	1996	14644
120	2010	14604
121	2024	14572
122	2038	14533
123	2052	14498
124	2065	14461
125	2079	14423
126	2092	14387
127	2106	14351
128	2120	14320
129	2135	14293
130	2150	14264
131	2163	14228
132	2177	14197
133	2191	14162
134	2205	14133
135	2220	14105
136	2234	14077
137	2249	14050
138	2264	14023
139	2277	13992
140	2292	13966
141	2306	13936
142	2320	13905
143	2334	13879
144	2350	13858
145	2365	13833
146	2378	13802
147	2393	13778
148	2407	13748
149	2421	13719
150	2435	13695
151	2449	13666
152	2463	13637
153	2476	13607
154	2490	13577
155	2503	13547
156	2517	13518
157	2531	13491
158	2545	13463
159	2559	13436
160	2574	13416
161	2588	13388
162	2601	13360
163	2615	13332
164	2629	13305
165	2643	13281
166	2657	13257
167	2672	13232
168	2686	13210
169	2700	13186
170	2715	13162
171	2730	13142
172	2744	13119
173	2759	13098
174	2773	13073
175	2787	13051
