iter	Passed	Remaining
0	96	48200
1	121	30156
2	151	25100
3	179	22258
4	205	20383
5	231	19030
6	255	17963
7	282	17349
8	308	16804
9	330	16203
10	359	15985
11	385	15689
12	416	15617
13	457	15880
14	500	16180
15	538	16278
16	570	16205
17	604	16187
18	638	16166
19	672	16147
20	705	16088
21	738	16045
22	769	15955
23	799	15866
24	829	15767
25	856	15614
26	890	15602
27	917	15473
28	946	15366
29	973	15247
30	1000	15143
31	1034	15124
32	1075	15218
33	1108	15195
34	1145	15224
35	1188	15315
36	1228	15367
37	1262	15346
38	1302	15392
39	1334	15345
40	1375	15398
41	1417	15457
42	1453	15451
43	1488	15431
44	1520	15369
45	1550	15302
46	1577	15208
47	1610	15166
48	1642	15116
49	1673	15059
50	1704	15002
51	1736	14959
52	1767	14903
53	1798	14851
54	1827	14789
55	1857	14725
56	1887	14673
57	1918	14623
58	1948	14564
59	1977	14498
60	2007	14447
61	2037	14395
62	2067	14339
63	2097	14290
64	2127	14238
65	2160	14205
66	2188	14143
67	2221	14115
68	2252	14072
69	2282	14018
70	2312	13972
71	2340	13915
72	2368	13855
73	2402	13831
74	2432	13785
75	2460	13729
76	2490	13681
77	2521	13641
78	2551	13597
79	2583	13562
80	2615	13529
81	2646	13489
82	2672	13425
83	2703	13390
84	2735	13354
85	2766	13316
86	2795	13268
87	2824	13225
88	2852	13174
89	2882	13132
90	2913	13093
91	2951	13088
92	2990	13085
93	3018	13037
94	3048	12996
95	3083	12976
96	3112	12931
97	3141	12886
98	3172	12849
99	3219	12877
100	3263	12893
101	3308	12910
102	3343	12885
103	3379	12869
104	3413	12843
105	3447	12814
106	3485	12801
107	3523	12787
108	3559	12768
109	3603	12774
110	3642	12764
111	3684	12763
112	3721	12746
113	3756	12718
114	3797	12714
115	3831	12682
116	3863	12646
117	3904	12641
118	3944	12628
119	3979	12601
120	4004	12544
121	4038	12512
122	4063	12454
123	4099	12430
124	4134	12402
125	4170	12379
126	4205	12350
127	4239	12320
128	4271	12284
129	4304	12251
130	4337	12217
131	4367	12175
132	4400	12142
133	4429	12097
134	4458	12054
135	4491	12021
136	4525	11991
137	4558	11958
138	4591	11923
139	4628	11901
140	4672	11896
141	4704	11860
142	4735	11822
143	4772	11797
144	4804	11763
145	4845	11749
146	4882	11723
147	4924	11712
148	4968	11705
149	5006	11681
150	5042	11654
151	5080	11631
152	5110	11589
153	5145	11559
154	5182	11536
155	5225	11523
156	5278	11531
157	5320	11515
158	5351	11476
159	5385	11444
160	5420	11414
161	5460	11392
162	5496	11364
163	5540	11350
164	5581	11332
165	5617	11303
166	5647	11261
167	5683	11230
168	5717	11198
169	5766	11193
170	5815	11189
171	5853	11163
172	5895	11143
173	5931	11113
174	5971	11089
175	6006	11057
176	6030	11005
177	6057	10958
178	6085	10912
179	6111	10864
180	6136	10815
181	6163	10769
182	6189	10722
183	6217	10677
184	6242	10629
185	6268	10582
186	6295	10537
187	6320	10488
188	6348	10446
189	6377	10406
190	6404	10360
191	6429	10314
192	6456	10270
193	6486	10231
194	6513	10187
195	6537	10139
196	6566	10100
197	6592	10055
198	6614	10004
199	6643	9965
200	6670	9922
201	6695	9878
202	6724	9838
203	6751	9796
204	6778	9754
205	6803	9710
206	6832	9671
207	6859	9628
208	6888	9591
209	6916	9551
210	6944	9511
211	6972	9472
212	6999	9431
213	7027	9391
214	7054	9351
215	7081	9310
216	7106	9268
217	7134	9229
218	7161	9189
219	7189	9150
220	7218	9113
221	7244	9072
222	7271	9032
223	7299	8994
224	7327	8955
225	7353	8914
226	7382	8877
227	7409	8839
228	7435	8798
229	7465	8764
230	7492	8725
231	7520	8687
232	7548	8649
233	7573	8609
234	7599	8569
235	7626	8531
236	7653	8493
237	7676	8450
238	7707	8416
239	7737	8382
240	7764	8344
241	7790	8305
242	7819	8269
243	7844	8229
244	7874	8196
245	7902	8159
246	7929	8122
247	7954	8082
248	7977	8041
249	8007	8007
250	8036	7972
251	8065	7937
252	8092	7900
253	8120	7864
254	8145	7826
255	8173	7790
256	8203	7756
257	8232	7721
258	8257	7684
259	8283	7646
260	8314	7613
261	8342	7578
262	8369	7542
263	8395	7504
264	8422	7469
265	8448	7432
266	8478	7398
267	8503	7361
268	8528	7323
269	8556	7288
270	8580	7251
271	8608	7215
272	8635	7180
273	8662	7145
274	8690	7110
275	8720	7077
276	8745	7040
277	8769	7003
278	8798	6969
279	8824	6933
280	8852	6899
281	8879	6864
282	8905	6828
283	8933	6794
284	8961	6760
285	8987	6724
286	9013	6689
287	9039	6654
288	9067	6620
289	9094	6585
290	9122	6551
291	9147	6516
292	9171	6479
293	9200	6446
294	9228	6412
295	9251	6375
296	9281	6343
297	9306	6308
298	9333	6274
299	9363	6242
300	9392	6209
301	9419	6175
302	9445	6141
303	9476	6110
304	9506	6077
305	9535	6045
306	9564	6012
307	9592	5979
308	9618	5945
309	9646	5912
310	9673	5878
311	9703	5846
312	9730	5813
313	9756	5779
314	9783	5745
315	9810	5712
316	9837	5679
317	9866	5646
318	9892	5613
319	9919	5579
320	9944	5545
321	9966	5509
322	9996	5477
323	10022	5444
324	10048	5410
325	10076	5377
326	10103	5345
327	10132	5313
328	10157	5279
329	10185	5247
330	10215	5215
331	10241	5182
332	10269	5149
333	10293	5115
334	10319	5082
335	10348	5050
336	10372	5017
337	10399	4984
338	10425	4951
339	10454	4919
340	10480	4886
341	10505	4853
342	10531	4820
343	10560	4788
344	10587	4756
345	10614	4724
346	10644	4693
347	10669	4660
348	10698	4628
349	10723	4595
350	10746	4561
351	10775	4530
352	10801	4498
353	10827	4465
354	10854	4433
355	10882	4401
356	10909	4369
357	10937	4338
358	10962	4305
359	10992	4274
360	11018	4242
361	11048	4211
362	11077	4180
363	11105	4149
364	11130	4116
365	11156	4084
366	11183	4052
367	11209	4020
368	11232	3987
369	11259	3956
370	11284	3923
371	11310	3891
372	11338	3860
373	11367	3829
374	11395	3798
375	11422	3767
376	11451	3736
377	11477	3704
378	11501	3671
379	11529	3640
380	11554	3608
381	11582	3577
382	11606	3545
383	11635	3514
384	11660	3483
385	11687	3451
386	11714	3420
387	11742	3389
388	11768	3358
389	11797	3327
390	11819	3295
391	11852	3265
392	11879	3234
393	11905	3203
394	11931	3171
395	11956	3140
396	11982	3108
397	12009	3077
398	12036	3046
399	12064	3016
