iter	MultiClass
0	1.326568909
1	1.273540645
2	1.224375037
3	1.181154996
4	1.144180733
5	1.111035285
6	1.079402198
7	1.051283015
8	1.024388878
9	1.002227881
10	0.9806547354
11	0.9604860837
12	0.9400283453
13	0.9195877869
14	0.9020378634
15	0.8862661664
16	0.8705718261
17	0.8545923305
18	0.8400104516
19	0.8271269117
20	0.8146168314
21	0.8037813188
22	0.7926349876
23	0.7807470944
24	0.7704246088
25	0.7605348351
26	0.7515022106
27	0.7425309698
28	0.7339551897
29	0.7258519992
30	0.7181085643
31	0.709631366
32	0.7017028365
33	0.6940440424
34	0.6861615159
35	0.6798259097
36	0.6737754843
37	0.6667694146
38	0.6606520182
39	0.6552255635
40	0.6492504313
41	0.6445497857
42	0.638875577
43	0.633378426
44	0.627929895
45	0.6230966615
46	0.6183919135
47	0.6137609478
48	0.6087806307
49	0.6041380324
50	0.5995450879
51	0.5955358042
52	0.5911846053
53	0.586965488
54	0.5834613902
55	0.5796865099
56	0.5765476688
57	0.5736549721
58	0.5706183673
59	0.5673396474
60	0.5644959936
61	0.5609299437
62	0.5567578039
63	0.5533042608
64	0.5506398245
65	0.5473042694
66	0.5448357346
67	0.5417404884
68	0.5390143244
69	0.5360913613
70	0.5339640062
71	0.5313569738
72	0.5296419571
73	0.5268210763
74	0.5248132569
75	0.5217347734
76	0.519418893
77	0.5167507063
78	0.5146648211
79	0.5120930002
80	0.5094880391
81	0.5068816338
82	0.5040463547
83	0.5011908905
84	0.4992631524
85	0.4969353711
86	0.4950440187
87	0.4928619886
88	0.4903343278
89	0.4888130207
90	0.4865689509
91	0.4848421559
92	0.4827764299
93	0.4814766456
94	0.4798404701
95	0.4777030982
96	0.4759239123
97	0.4741687769
98	0.4722330235
99	0.4702091764
100	0.4683655163
101	0.4666085133
102	0.4648347336
103	0.4632194154
104	0.4620734679
105	0.4607151934
106	0.4586435256
107	0.4566473957
108	0.4551606072
109	0.4537794252
110	0.452386122
111	0.4502759188
112	0.4488354326
113	0.4475855921
114	0.4455457571
115	0.4439017543
116	0.4421543408
117	0.4408837394
118	0.4393044911
119	0.4378926953
120	0.4365037999
121	0.4344677595
122	0.433625556
123	0.4322535033
124	0.4308089629
125	0.4292123328
126	0.4282085257
127	0.427082891
128	0.4259238298
129	0.4247521957
130	0.4233959529
131	0.4223301228
132	0.4209194597
133	0.419943058
134	0.4187647246
135	0.4173073232
136	0.4161723568
137	0.4150524976
138	0.4136237373
139	0.4124418577
140	0.4111388422
141	0.4100408377
142	0.4088726068
143	0.4079988256
144	0.4063898869
145	0.4054494938
146	0.4045641902
147	0.4029257099
148	0.4018520736
149	0.401129207
150	0.3997627522
151	0.3988438127
152	0.3975271844
153	0.3968203552
154	0.3954271438
155	0.3941574042
156	0.3927067877
157	0.3916112629
158	0.3901035044
159	0.38883922
160	0.3871668155
161	0.3860290839
162	0.3853180317
163	0.383915724
164	0.3830289854
165	0.3818366635
166	0.3807824026
167	0.3795325549
168	0.3784851439
169	0.3773784094
170	0.3763233899
171	0.3754629006
172	0.3746579062
173	0.3737243404
174	0.3730870951
175	0.3719055592
176	0.3710417332
177	0.3703292521
178	0.3695399345
179	0.3684684513
180	0.3676876714
181	0.3668458709
182	0.3657779551
183	0.3647314877
184	0.363963061
185	0.3632467334
186	0.3624795071
187	0.3618647811
188	0.3612338426
189	0.360238952
190	0.3594996155
191	0.3586864047
192	0.3573140033
193	0.3566513158
194	0.355925214
195	0.354803007
196	0.3542229997
197	0.3535856853
198	0.3529065194
199	0.3516014622
200	0.350681053
201	0.3499409662
202	0.3488128412
203	0.3480317922
204	0.3473321983
205	0.3466631903
206	0.3457546659
207	0.3451174932
208	0.3438817912
209	0.3433010614
210	0.34253359
211	0.3417414316
212	0.3409250321
213	0.3399587172
214	0.3394687403
215	0.3388190964
216	0.3382158996
217	0.3373874219
218	0.3364055271
219	0.3356006635
220	0.3347290565
221	0.3340595643
222	0.3330894857
223	0.3324161228
224	0.3318227464
225	0.3311808488
226	0.3302623808
227	0.3293921283
228	0.3286485559
229	0.3279378216
230	0.3270255966
231	0.3262220274
232	0.3256761468
233	0.3251439866
234	0.3242533457
235	0.3233349697
236	0.3224436834
237	0.3219430389
238	0.3213830184
239	0.3206727017
240	0.3199850543
241	0.3193344021
242	0.318752297
243	0.3179330683
244	0.3171954189
245	0.3162203725
246	0.3155468233
247	0.3148318707
248	0.3141077161
249	0.3132205135
250	0.3125182401
251	0.3118781558
252	0.3111893779
253	0.3107635179
254	0.3101917247
255	0.3093469087
256	0.3087877821
257	0.3083506013
258	0.3078786203
259	0.3074183137
260	0.3066349044
261	0.3059575695
262	0.3054110714
263	0.3048673191
264	0.3042133756
265	0.3034096625
266	0.3026670847
267	0.3022443822
268	0.3015625335
269	0.3009046521
270	0.3003689347
271	0.2994554158
272	0.2987584592
273	0.2981730636
274	0.297303044
275	0.2969917059
276	0.296375365
277	0.2957252578
278	0.2950184984
279	0.2943378469
280	0.2937106071
281	0.2928314849
282	0.2919303254
283	0.2913059039
284	0.2909522072
285	0.2902966797
286	0.289644404
287	0.2890776647
288	0.28838824
289	0.2880351954
290	0.2876027972
291	0.2869152223
292	0.2863474318
293	0.2857300746
294	0.2849858996
295	0.2844715508
296	0.2839267181
297	0.2831101225
298	0.2825147852
299	0.2819388639
300	0.2812738256
301	0.2808230464
302	0.2802682027
303	0.2797019768
304	0.2792143713
305	0.2787950506
306	0.2783616279
307	0.2777216422
308	0.2772355191
309	0.2766040596
310	0.2761224205
311	0.2757209597
312	0.2754058765
313	0.2747988052
314	0.2741651168
315	0.2733508397
316	0.2730549985
317	0.2722732069
318	0.2719365377
319	0.2712850071
320	0.2706285654
321	0.2703253296
322	0.2695265384
323	0.2692283871
324	0.2686193035
325	0.2681072187
326	0.2677403933
327	0.2670333268
328	0.2664809216
329	0.2656223408
330	0.2650574601
331	0.26453653
332	0.2640615192
333	0.263475942
334	0.2628821837
335	0.2624083368
336	0.261963557
337	0.261379
338	0.2608829303
339	0.2603303104
340	0.2599773808
341	0.2596821441
342	0.2591679267
343	0.2586073947
344	0.2582832817
345	0.2578493298
346	0.257558884
347	0.2568751618
348	0.256563199
349	0.2561228559
350	0.2555243025
351	0.2549125224
352	0.2542254304
353	0.2538434264
354	0.2532704408
355	0.2529891448
356	0.2524910787
357	0.2518692557
358	0.2514140472
359	0.2510554112
360	0.2507133195
361	0.2499551461
362	0.2494527224
363	0.2489893456
364	0.2486126971
365	0.2481272049
366	0.2475353922
367	0.2469227626
368	0.2467018805
369	0.2463424718
370	0.2460752589
371	0.2457706081
372	0.2453899854
373	0.2449170147
374	0.2444238811
375	0.2439904189
376	0.2433646206
377	0.2427643675
378	0.2423148968
379	0.2418945438
380	0.2416129509
381	0.2412227426
382	0.2409067437
383	0.2403033648
384	0.2397805493
385	0.2394418416
386	0.2389846398
387	0.2385706455
388	0.2382166431
389	0.2378091044
390	0.2375877105
391	0.2370309771
392	0.2366121322
393	0.2363260608
394	0.2359604694
395	0.2355549959
